issue_name,issue_url,article_url,author,title,year,journal,vol,doi,data_url,stata,julia,python,R,C,C++,matlab,fortran,sas
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052240,"Campbell, John, Y., and Tuomo Vuolteenaho.","""Bad Beta, Good Beta.""",2004,American Economic Review,"94 (5):
  1249-1275.",10.1257/0002828043052240,https://www.aeaweb.org/aer/data/dec04_data_campbell.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052268,"Temin, Peter, and Hans-Joachim Voth.","""Riding the South Sea Bubble.""",2004,American Economic Review,"94 (5):
  1654-1668.",10.1257/0002828043052268,https://www.aeaweb.org/aer/data/dec04_data_temin.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052277,"Chen, Joseph, Harrison Hong, Ming Huang, and Jeffrey D. Kubik.","""Does Fund Size Erode Mutual Fund Performance? The Role of Liquidity and Organization.""",2004,American Economic Review,"94 (5):
  1276-1302.",10.1257/0002828043052277,https://www.aeaweb.org/aer/data/dec04_data_hong.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052286,"Neary, J Peter.","""Rationalizing the Penn World Table: True Multilateral Indices for International Comparisons of Real Income.""",2004,American Economic Review,"94 (5):
  1411-1428.",10.1257/0002828043052286,https://www.aeaweb.org/aer/data/dec04_data_neary.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052295,"Maccini, Louis, J., Bartholomew J. Moore, and Huntley Schaller.","""The Interest Rate, Learning, and Inventory Investment.""",2004,American Economic Review,"94 (5):
  1303-1327.",10.1257/0002828043052295,https://www.aeaweb.org/aer/data/dec04_data_schaller.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052349,"Chen, Yan, and Robert Gazzale.","""When Does Learning in Games Generate Convergence to Nash Equilibria? The Role of Supermodularity in an Experimental Setting.""",2004,American Economic Review,"94 (5):
  1505-1535.",10.1257/0002828043052349,https://www.aeaweb.org/aer/data/dec04_data_gazzale.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052358,"Davis, Lucas, W.","""The Effect of Health Risk on Housing Values: Evidence from a Cancer Cluster.""",2004,American Economic Review,"94 (5):
  1693-1704.",10.1257/0002828043052358,https://www.aeaweb.org/aer/data/dec04_data_davis.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052376,"Coen-Pirani, Daniele.","""Markups, Aggregation, and Inventory Adjustment.""",2004,American Economic Review,"94 (5):
  1328-1353.",10.1257/0002828043052376,https://www.aeaweb.org/aer/data/dec04_data_coen.zip,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828446,"Gürkaynak, Refet, S., Brian Sack, and Eric Swanson.","""The Sensitivity of Long-Term Interest Rates to Economic News: Evidence and Implications for Macroeconomic Models.""",2005,American Economic Review,"95 (1):
  425-436.",10.1257/0002828053828446,https://www.aeaweb.org/aer/data/mar05_data_gurkaynak.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828455,"Schlenker, Wolfram, W. Michael Hanemann, and Anthony C. Fisher.","""Will U.S. Agriculture Really Benefit from Global Warming? Accounting for Irrigation in the Hedonic Approach.""",2005,American Economic Review,"95 (1):
  395-406.",10.1257/0002828053828455,https://www.aeaweb.org/aer/data/mar05_data_schlenker.zip,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828464,"Diermeier, Daniel, Michael Keane, and Antonio Merlo.","""A Political Economy Model of Congressional Careers.""",2005,American Economic Review,"95 (1):
  347-373.",10.1257/0002828053828464,https://www.aeaweb.org/aer/data/mar05_data_merlo.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828473,"Auerbach, Alan, J., and Maurice Obstfeld.","""The Case for Open-Market Purchases in a Liquidity Trap.""",2005,American Economic Review,"95 (1):
  110-137.",10.1257/0002828053828473,https://www.aeaweb.org/aer/data/mar05_data_auerbach.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828491,"Bernhofen, Daniel, M., and John C. Brown.","""An Empirical Assessment of the Comparative Advantage Gains from Trade: Evidence from Japan.""",2005,American Economic Review,"95 (1):
  208-225.",10.1257/0002828053828491,https://www.aeaweb.org/aer/data/mar05_data_bernhofen.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828509,"Thompson, Peter, and Melanie Fox-Kean.","""Patent Citations and the Geography of Knowledge Spillovers: A Reassessment.""",2005,American Economic Review,"95 (1):
  450-460.",10.1257/0002828053828509,https://www.aeaweb.org/aer/data/mar05_data_thompson.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828518,"Jordà, Òscar.","""Estimation and Inference of Impulse Responses by Local Projections.""",2005,American Economic Review,"95 (1):
  161-182.",10.1257/0002828053828518,https://www.aeaweb.org/aer/data/mar05_data_jorda.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828554,"Chowdhry, Bhagwan, Richard Roll, and Yihong Xia.","""Extracting Inflation from Stock Returns to Test Purchasing Power Parity.""",2005,American Economic Review,"95 (1):
  255-276.",10.1257/0002828053828554,https://www.aeaweb.org/aer/data/mar05_data_chowdry.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828563,"Becker, Gary, S., Tomas J. Philipson, and Rodrigo R. Soares.","""The Quantity and Quality of Life and the Evolution of World Inequality.""",2005,American Economic Review,"95 (1):
  277-291.",10.1257/0002828053828563,https://www.aeaweb.org/aer/data/mar05_data_becker.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828572,"Shimer, Robert.","""The Cyclical Behavior of Equilibrium Unemployment and Vacancies.""",2005,American Economic Review,"95 (1):
  25-49.",10.1257/0002828053828572,https://www.aeaweb.org/aer/data/mar05_data_shimer.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828581,"Cochrane, John, H., and Monika Piazzesi.","""Bond Risk Premia.""",2005,American Economic Review,"95 (1):
  138-160.",10.1257/0002828053828581,https://www.aeaweb.org/aer/data/mar05_data_cochrane.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828590,"Evans, Carolyn, L., and James Harrigan.","""Distance, Time, and Specialization: Lean Retailing in General Equilibrium.""",2005,American Economic Review,"95 (1):
  292-313.",10.1257/0002828053828590,https://www.aeaweb.org/aer/data/mar05_data_evans.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828626,"Wynne, José.","""Wealth as a Determinant of Comparative Advantage.""",2005,American Economic Review,"95 (1):
  226-254.",10.1257/0002828053828626,https://www.aeaweb.org/aer/data/mar05_data_wynne.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828635,"Black, Sandra, E., Paul J. Devereux, and Kjell G. Salvanes.","""Why the Apple Doesn't Fall Far: Understanding Intergenerational Transmission of Human Capital.""",2005,American Economic Review,"95 (1):
  437-449.",10.1257/0002828053828635,https://www.aeaweb.org/aer/data/mar05_data_black.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828653,"Yun, Tack.","""Optimal Monetary Policy with Relative Price Distortions.""",2005,American Economic Review,"95 (1):
  89-109.",10.1257/0002828053828653,https://www.aeaweb.org/aer/data/mar05_data_yun.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828671,"Meghir, Costas, and Mårten Palme.","""Educational Reform, Ability, and Family Background.""",2005,American Economic Review,"95 (1):
  414-424.",10.1257/0002828053828671,https://www.aeaweb.org/aer/data/mar05_data_meghir.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828680,"Greenwood, Jeremy, Ananth Seshadri, and Guillaume Vandenbroucke.","""The Baby Boom and Baby Bust.""",2005,American Economic Review,"95 (1):
  183-207.",10.1257/0002828053828680,https://www.aeaweb.org/aer/data/mar05_data_greenwood.zip,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Vol. 95            No. 1             March 2005,https://www.aeaweb.org/issues/50,https://www.aeaweb.org/articles?id=10.1257/0002828053828699,"Abiad, Abdul, and Ashoka Mody.","""Financial Reform: What Shakes It? What Shapes It?""",2005,American Economic Review,"95 (1):
  66-88.",10.1257/0002828053828699,https://www.aeaweb.org/aer/data/mar05_data_abiad.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201242,"Burgess, Robin, and Rohini Pande.","""Do Rural Banks Matter? Evidence from the Indian Social Banking Experiment.""",2005,American Economic Review,"95 (3):
  780-795.",10.1257/0002828054201242,https://www.aeaweb.org/aer/data/june05_data_burgess.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201251,"Saint-Paul, Gilles.","""Some Evolutionary Foundations for Price Level Rigidity.""",2005,American Economic Review,"95 (3):
  765-779.",10.1257/0002828054201251,https://www.aeaweb.org/aer/data/june05_data_saintpaul.zip,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201305,"Acemoglu, Daron, Simon Johnson, and James Robinson.","""The Rise of Europe: Atlantic Trade, Institutional Change, and Economic Growth.""",2005,American Economic Review,"95 (3):
  546-579.",10.1257/0002828054201305,https://www.aeaweb.org/aer/data/june05_data_acemoglu.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201314,"Cai, Hongbin, and Daniel Treisman.","""Does Competition for Capital Discipline Governments? Decentralization, Globalization, and Public Policy.""",2005,American Economic Review,"95 (3):
  817-830.",10.1257/0002828054201314,https://www.aeaweb.org/aer/data/june05_data_treisman.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201323,"McKinney, C. Nicholas, Muriel Niederle, and Alvin E. Roth.","""The Collapse of a Medical Labor Clearinghouse (and Why Such Failures Are Rare).""",2005,American Economic Review,"95 (3):
  878-889.",10.1257/0002828054201323,https://www.aeaweb.org/aer/data/june05_data_mckinney.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201332,"Crucini, Mario, J., Chris I. Telmer, and Marios Zachariadis.","""Understanding European Real Exchange Rates.""",2005,American Economic Review,"95 (3):
  724-738.",10.1257/0002828054201332,https://www.aeaweb.org/aer/data/june05_data_crucini.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201350,"Duffy, John, and Eric O'N. Fisher.","""Sunspots in the Laboratory.""",2005,American Economic Review,"95 (3):
  510-529.",10.1257/0002828054201350,https://www.aeaweb.org/aer/data/june05_data_fisher.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201378,"Harrison, Glenn, W., Eric Johnson, Melayne M. McInnes, and E. Elisabet Rutström.","""Risk Aversion and Incentive Effects: Comment.""",2005,American Economic Review,"95 (3):
  897-901.",10.1257/0002828054201378,https://www.aeaweb.org/aer/data/june05_data_harrison.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201387,"Plott, Charles, R., and Kathryn Zeiler.","""The Willingness to Pay-Willingness to Accept Gap, the ""Endowment Effect,"" Subject Misconceptions, and Experimental Procedures for Eliciting Valuations.""",2005,American Economic Review,"95 (3):
  530-545.",10.1257/0002828054201387,https://www.aeaweb.org/aer/data/june05_data_plott.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201396,"Hummels, David, and Peter J. Klenow.","""The Variety and Quality of a Nation's Exports.""",2005,American Economic Review,"95 (3):
  704-723.",10.1257/0002828054201396,https://www.aeaweb.org/aer/data/june05_data_klenow.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201431,"Cooper, David, J., and John H. Kagel.","""Are Two Heads Better Than One? Team versus Individual Play in Signaling Games.""",2005,American Economic Review,"95 (3):
  477-509.",10.1257/0002828054201431,https://www.aeaweb.org/aer/data/june05_data_kagel.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201468,"Montalvo, José, G., and Marta Reynal-Querol.","""Ethnic Polarization, Potential Conflict, and Civil Wars.""",2005,American Economic Review,"95 (3):
  796-816.",10.1257/0002828054201468,https://www.aeaweb.org/aer/data/june05_data_montalvo.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 3             June 2005,https://www.aeaweb.org/issues/52,https://www.aeaweb.org/articles?id=10.1257/0002828054201477,"Iacoviello, Matteo.","""House Prices, Borrowing Constraints, and Monetary Policy in the Business Cycle.""",2005,American Economic Review,"95 (3):
  739-764.",10.1257/0002828054201477,https://www.aeaweb.org/aer/data/june05_data_iacoviello.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825484,"Urquiola, Miguel.","""Does School Choice Lead to Sorting? Evidence from Tiebout Variation.""",2005,American Economic Review,"95 (4):
  1310-1326.",10.1257/0002828054825484,https://www.aeaweb.org/aer/data/sept05_data_urquiola.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825493,"Brunnermeier, Markus, K., and Jonathan A. Parker.","""Optimal Expectations.""",2005,American Economic Review,"95 (4):
  1092-1118.",10.1257/0002828054825493,https://www.aeaweb.org/aer/data/sept05_data_brunnermeier.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825501,"Moser, Petra.","""How Do Patent Laws Influence Innovation? Evidence from Nineteenth-Century World's Fairs.""",2005,American Economic Review,"95 (4):
  1214-1236.",10.1257/0002828054825501,https://www.aeaweb.org/aer/data/sept05_data_moser.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825538,"Snyder, James, M. Jr., Michael M. Ting, and Stephen Ansolabehere.","""Legislative Bargaining under Weighted Voting.""",2005,American Economic Review,"95 (4):
  981-1004.",10.1257/0002828054825538,https://www.aeaweb.org/aer/data/sept05_data_snyder.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825556,"Parker, Jonathan, A., and Bruce Preston.","""Precautionary Saving and Consumption Fluctuations.""",2005,American Economic Review,"95 (4):
  1119-1143.",10.1257/0002828054825556,https://www.aeaweb.org/aer/data/sept05_data_parker.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825565,"Catão, Luis, A. V., and Solomos N. Solomou.","""Effective Exchange Rates and the Classical Gold Standard Adjustment.""",2005,American Economic Review,"95 (4):
  1259-1275.",10.1257/0002828054825565,https://www.aeaweb.org/aer/data/sept05_data_catao.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825574,"Banerjee, Abhijit, and Lakshmi Iyer.","""History, Institutions, and Economic Performance: The Legacy of Colonial Land Tenure Systems in India.""",2005,American Economic Review,"95 (4):
  1190-1213.",10.1257/0002828054825574,https://www.aeaweb.org/aer/data/sept05_data_banerjee.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825583,"Charness, Gary, and Dan Levin.","""When Optimal Choices Feel Wrong: A Laboratory Study of Bayesian Updating, Complexity, and Affect.""",2005,American Economic Review,"95 (4):
  1300-1309.",10.1257/0002828054825583,https://www.aeaweb.org/aer/data/sept05_data_charness.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825646,"Pagano, Marco, and Paolo F. Volpin.","""The Political Economy of Corporate Governance.""",2005,American Economic Review,"95 (4):
  1005-1030.",10.1257/0002828054825646,https://www.aeaweb.org/aer/data/sept05_data_pagano.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825655,"Alesina, Alberto, and George-Marios Angeletos.","""Fairness and Redistribution.""",2005,American Economic Review,"95 (4):
  960-980.",10.1257/0002828054825655,https://www.aeaweb.org/aer/data/sept05_data_alesina.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 95            No. 4             September 2005,https://www.aeaweb.org/issues/53,https://www.aeaweb.org/articles?id=10.1257/0002828054825691,"Peek, Joe, and Eric S. Rosengren.","""Unnatural Selection: Perverse Incentives and the Misallocation of Credit in Japan.""",2005,American Economic Review,"95 (4):
  1144-1166.",10.1257/0002828054825691,https://www.aeaweb.org/aer/data/sept05_data_peek.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
